timestamp: 2016-02-02 05:58:23.881000,closing,,major,,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
2016-02-01,1992.69,-0.07%,-51.79e8,-8.22%,-15.26e8,-2.42%,-36.52e8,-5.80%,7.41e8,1.18%,44.38e8,7.04%
2016-01-29,1994.07,4.60%,50.29e8,7.10%,29.75e8,4.20%,20.54e8,2.90%,-17.40e8,-2.46%,-32.90e8,-4.64%
2016-01-28,1906.46,-4.56%,-53.97e8,-8.53%,-23.48e8,-3.71%,-30.49e8,-4.82%,5.58e8,0.88%,48.39e8,7.65%
2016-01-27,1997.46,0.17%,-21.26e8,-2.59%,-3.47e8,-0.42%,-17.79e8,-2.17%,-2.73e8,-0.33%,23.98e8,2.92%
2016-01-26,1994.05,-7.63%,-107e8,-13.13%,-46.36e8,-5.67%,-60.96e8,-7.46%,12.54e8,1.53%,94.79e8,11.59%
2016-01-25,2158.82,0.43%,-42.06e8,-5.84%,-10.27e8,-1.43%,-31.78e8,-4.42%,8.48e8,1.18%,33.58e8,4.67%
2016-01-22,2149.59,1.76%,-5.58e8,-0.70%,1.42e8,0.18%,-7.00e8,-0.88%,2764Íò,0.03%,5.31e8,0.67%
2016-01-21,2112.40,-4.18%,-39.49e8,-4.09%,-11.08e8,-1.15%,-28.41e8,-2.94%,-9.61e8,-0.99%,49.09e8,5.08%
2016-01-20,2204.65,-1.65%,-69.31e8,-7.06%,-23.25e8,-2.37%,-46.06e8,-4.69%,10.53e8,1.07%,58.78e8,5.99%
2016-01-19,2241.70,3.07%,-4.95e8,-0.47%,-2.20e8,-0.21%,-2.75e8,-0.26%,3.26e8,0.31%,1.69e8,0.16%
2016-01-18,2174.93,2.94%,42.33e8,4.64%,31.82e8,3.49%,10.52e8,1.15%,-14.87e8,-1.63%,-27.46e8,-3.01%
2016-01-15,2112.90,-2.86%,-76.55e8,-8.08%,-27.41e8,-2.89%,-49.14e8,-5.19%,9.77e8,1.03%,66.79e8,7.05%
2016-01-14,2175.01,5.59%,47.71e8,5.20%,38.33e8,4.17%,9.38e8,1.02%,-18.59e8,-2.03%,-29.12e8,-3.17%
2016-01-13,2059.78,-4.09%,-66.04e8,-8.16%,-28.74e8,-3.55%,-37.31e8,-4.61%,8.68e8,1.07%,57.36e8,7.09%
2016-01-12,2147.53,1.95%,-3.68e8,-0.42%,6.63e8,0.76%,-10.31e8,-1.18%,-2.30e8,-0.26%,5.99e8,0.68%
2016-01-11,2106.36,-6.34%,-83.13e8,-9.03%,-36.88e8,-4.01%,-46.25e8,-5.02%,8.73e8,0.95%,74.40e8,8.08%
2016-01-08,2248.99,-0.33%,-43.88e8,-4.03%,-11.66e8,-1.07%,-32.22e8,-2.96%,2.75e8,0.25%,41.13e8,3.78%
2016-01-07,2256.52,-8.58%,-41.05e8,-15.73%,-19.61e8,-7.51%,-21.44e8,-8.21%,8.86e8,3.39%,32.19e8,12.33%
2016-01-06,2468.37,2.14%,-15.92e8,-1.52%,-13.61e8,-1.30%,-2.31e8,-0.22%,1.64e8,0.16%,14.28e8,1.36%
2016-01-05,2416.72,-2.99%,-88.90e8,-7.25%,-47.21e8,-3.85%,-41.69e8,-3.40%,17.32e8,1.41%,71.58e8,5.84%
2016-01-04,2491.24,-8.21%,-140e8,-15.83%,-70.02e8,-7.93%,-69.76e8,-7.90%,33.60e8,3.80%,106e8,12.02%
2015-12-31,2714.05,-2.36%,-101e8,-9.00%,-43.40e8,-3.88%,-57.33e8,-5.12%,17.01e8,1.52%,83.71e8,7.48%
2015-12-30,2779.51,1.08%,7.29e8,0.63%,17.95e8,1.56%,-10.66e8,-0.93%,-8.63e8,-0.75%,1.34e8,0.12%
2015-12-29,2749.82,0.52%,-42.85e8,-4.23%,-13.63e8,-1.34%,-29.23e8,-2.88%,4.12e8,0.41%,38.73e8,3.82%
2015-12-28,2735.49,-2.12%,-112e8,-8.71%,-45.16e8,-3.52%,-66.44e8,-5.19%,21.90e8,1.71%,89.70e8,7.00%
2015-12-25,2794.73,-0.04%,-53.38e8,-5.06%,-19.74e8,-1.87%,-33.64e8,-3.19%,6.74e8,0.64%,46.64e8,4.42%
2015-12-24,2795.78,0.43%,-24.19e8,-2.25%,-2.76e8,-0.26%,-21.43e8,-1.99%,-5.30e8,-0.49%,29.49e8,2.74%
2015-12-23,2783.94,-1.97%,-135e8,-10.12%,-71.35e8,-5.35%,-63.47e8,-4.76%,27.63e8,2.07%,107e8,8.04%
2015-12-22,2839.85,0.35%,-35.47e8,-3.10%,-3.53e8,-0.31%,-31.94e8,-2.79%,7594Íò,0.07%,34.71e8,3.03%
2015-12-21,2829.92,-0.01%,-66.53e8,-5.44%,-33.70e8,-2.76%,-32.83e8,-2.68%,11.69e8,0.96%,54.84e8,4.48%
