market,timestamp,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
Overall Market,2016-02-02 01:39:44.473000,17.1707,-16.6205,50.8335,-50.7536,75.9773,-78.0613,66.5365,-65.0827
Overall Market,2016-02-02 03:40:37.400000,302.3334,-191.5001,667.3263,-577.8367,791.7048,-848.4882,580.2064,-723.7459
Overall Market,2016-02-02 05:58:45.651000,401.2977,-252.0115,864.3430,-761.6396,1041.0016,-1110.8590,765.8373,-947.9695
大盘资金流向(深市),2016-02-02 05:58:33.567000,254.7398,-155.6014,540.2066,-470.7905,645.8371,-694.4758,466.5800,-586.4959
大盘资金流向(深市),2016-02-02 01:40:12.422000,10.3702,-10.5958,34.1452,-32.9378,50.7552,-51.6314,43.0553,-43.1610
大盘资金流向(深市),2016-02-02 03:40:46.682000,189.9298,-118.5282,420.4912,-359.7366,496.2117,-533.4934,356.1911,-451.0656
大盘资金流向(沪市),2016-02-02 01:40:29.803000,7.8510,-7.2356,20.5934,-21.1915,30.6674,-31.8815,27.7454,-26.5487
大盘资金流向(沪市),2016-02-02 03:40:59.961000,112.4036,-72.9719,246.8350,-218.1001,295.4932,-314.9948,224.0153,-272.6803
大盘资金流向(沪市),2016-02-02 05:58:56.913000,146.2626,-96.2195,323.3472,-290.0867,394.2923,-415.4896,298.5784,-360.6846
大盘资金流向(创业板),2016-02-02 05:58:23.881000,83.3987,-45.6417,169.4898,-147.1740,196.9337,-217.1505,130.6973,-170.5532
大盘资金流向(创业板),2016-02-02 01:39:56.772000,3.2239,-3.9770,12.8173,-10.8952,17.1449,-17.4925,13.1919,-14.0134
大盘资金流向(创业板),2016-02-02 03:40:27.683000,59.2306,-34.7957,134.8967,-113.2477,154.4530,-168.6388,101.8176,-133.7157
