Market:,大盘资金流向(深市)
Timestamp:, 2016-02-05 05:53:11.994000
,closing,,major,,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
2016-02-04,9793.07,1.60%,81.52e8,3.06%,64.32e8,2.41%,17.20e8,0.65%,-33.77e8,-1.27%,-47.74e8,-1.79%
2016-02-03,9638.87,0.29%,-88.54e8,-3.86%,-21.94e8,-0.96%,-66.60e8,-2.90%,4.57e8,0.20%,83.97e8,3.66%
2016-02-02,9610.93,3.10%,179e8,7.34%,106e8,4.32%,73.87e8,3.02%,-51.38e8,-2.10%,-128e8,-5.24%
2016-02-01,9322.01,-1.02%,-170e8,-7.83%,-58.75e8,-2.70%,-112e8,-5.13%,11.04e8,0.51%,159e8,7.33%
2016-01-29,9418.20,3.70%,147e8,5.92%,88.48e8,3.56%,58.79e8,2.36%,-39.05e8,-1.57%,-108e8,-4.35%
2016-01-28,9082.59,-3.61%,-177e8,-7.62%,-68.43e8,-2.95%,-108e8,-4.67%,6.51e8,0.28%,170e8,7.34%
2016-01-27,9422.43,-0.64%,-132e8,-4.35%,-50.45e8,-1.67%,-81.39e8,-2.69%,9.04e8,0.30%,123e8,4.06%
2016-01-26,9483.55,-6.96%,-385e8,-12.40%,-167e8,-5.38%,-218e8,-7.02%,27.66e8,0.89%,357e8,11.51%
2016-01-25,10192.53,0.80%,-101e8,-3.90%,-23.85e8,-0.92%,-77.11e8,-2.98%,13.97e8,0.54%,86.99e8,3.36%
2016-01-22,10111.57,1.36%,-19.19e8,-0.69%,9.33e8,0.34%,-28.52e8,-1.03%,-11.59e8,-0.42%,30.78e8,1.11%
2016-01-21,9975.97,-3.77%,-212e8,-6.38%,-78.83e8,-2.37%,-133e8,-4.01%,-7.74e8,-0.23%,220e8,6.61%
2016-01-20,10366.85,-1.28%,-260e8,-7.18%,-96.76e8,-2.68%,-163e8,-4.50%,29.69e8,0.82%,230e8,6.36%
2016-01-19,10501.79,3.41%,61.45e8,1.70%,49.37e8,1.37%,12.07e8,0.33%,-16.62e8,-0.46%,-44.82e8,-1.24%
2016-01-18,10155.96,1.58%,108e8,3.62%,85.50e8,2.86%,22.60e8,0.76%,-45.97e8,-1.54%,-62.13e8,-2.08%
2016-01-15,9997.92,-3.35%,-302e8,-9.09%,-123e8,-3.71%,-178e8,-5.38%,24.52e8,0.74%,277e8,8.35%
2016-01-14,10344.94,3.67%,95.17e8,2.85%,85.82e8,2.57%,9.35e8,0.28%,-33.46e8,-1.00%,-61.71e8,-1.85%
2016-01-13,9978.82,-3.06%,-241e8,-7.77%,-92.45e8,-2.98%,-149e8,-4.79%,22.59e8,0.73%,219e8,7.04%
2016-01-12,10293.70,0.80%,-73.61e8,-2.25%,-13.49e8,-0.41%,-60.12e8,-1.84%,5.22e8,0.16%,68.38e8,2.09%
2016-01-11,10212.46,-6.21%,-435e8,-11.50%,-218e8,-5.78%,-216e8,-5.72%,67.50e8,1.79%,367e8,9.72%
2016-01-08,10888.91,1.20%,-174e8,-3.97%,-57.82e8,-1.32%,-116e8,-2.65%,26.56e8,0.61%,147e8,3.37%
2016-01-07,10760.27,-8.23%,-173e8,-16.04%,-97.37e8,-9.02%,-75.83e8,-7.02%,38.73e8,3.59%,134e8,12.45%
2016-01-06,11724.88,2.24%,-53.36e8,-1.29%,-5.15e8,-0.12%,-48.21e8,-1.16%,-5.13e8,-0.12%,58.49e8,1.41%
2016-01-05,11468.06,-1.36%,-327e8,-6.77%,-149e8,-3.08%,-178e8,-3.69%,49.59e8,1.03%,278e8,5.74%
2016-01-04,11626.04,-8.20%,-580e8,-16.31%,-313e8,-8.81%,-266e8,-7.50%,129e8,3.62%,451e8,12.69%
2015-12-31,12664.89,-1.75%,-369e8,-8.53%,-182e8,-4.22%,-187e8,-4.31%,66.52e8,1.54%,302e8,6.99%
2015-12-30,12889.83,0.65%,-73.90e8,-1.62%,-13.64e8,-0.30%,-60.26e8,-1.32%,6549e4,0.01%,73.25e8,1.61%
2015-12-29,12806.16,0.94%,-158e8,-3.88%,-48.75e8,-1.19%,-110e8,-2.68%,14.88e8,0.36%,144e8,3.51%
2015-12-28,12686.34,-2.27%,-537e8,-10.17%,-266e8,-5.04%,-271e8,-5.13%,113e8,2.15%,424e8,8.02%
2015-12-25,12980.57,0.37%,-168e8,-4.10%,-68.98e8,-1.68%,-99.18e8,-2.42%,26.90e8,0.66%,141e8,3.45%
2015-12-24,12932.37,-0.58%,-235e8,-5.42%,-106e8,-2.44%,-130e8,-2.99%,24.07e8,0.55%,211e8,4.87%
