Market:,大盘资金流向(沪市)
Timestamp:, 2016-02-01 06:48:29.173489
,closing,,major,,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
2016-01-29,2737.60,3.09%,92.98e8,5.17%,67.06e8,3.73%,25.92e8,1.44%,-28.54e8,-1.59%,-64.44e8,-3.58%
2016-01-28,2655.66,-2.92%,-122e8,-7.27%,-42.13e8,-2.52%,-79.57e8,-4.75%,8.51e8,0.51%,113e8,6.76%
2016-01-27,2735.56,-0.52%,-73.76e8,-3.56%,-25.37e8,-1.22%,-48.39e8,-2.33%,-6.67e8,-0.32%,80.43e8,3.88%
2016-01-26,2749.78,-6.42%,-269e8,-12.64%,-125e8,-5.87%,-144e8,-6.78%,19.30e8,0.91%,250e8,11.74%
2016-01-25,2938.51,0.75%,-52.18e8,-3.18%,-18.79e8,-1.15%,-33.39e8,-2.04%,9.28e8,0.57%,42.90e8,2.62%
2016-01-22,2916.56,1.25%,-7.05e8,-0.41%,9.52e8,0.56%,-16.57e8,-0.97%,-5.25e8,-0.31%,12.30e8,0.72%
2016-01-21,2880.48,-3.23%,-159e8,-7.81%,-70.88e8,-3.48%,-88.19e8,-4.33%,6.29e8,0.31%,153e8,7.50%
2016-01-20,2976.69,-1.03%,-171e8,-7.30%,-67.86e8,-2.89%,-103e8,-4.41%,24.69e8,1.05%,146e8,6.25%
2016-01-19,3007.74,3.22%,105e8,4.73%,78.94e8,3.54%,26.34e8,1.18%,-24.61e8,-1.11%,-80.67e8,-3.62%
2016-01-18,2913.84,0.44%,13.50e8,0.78%,15.96e8,0.92%,-2.46e8,-0.14%,-16.42e8,-0.95%,2.92e8,0.17%
2016-01-15,2900.97,-3.55%,-211e8,-10.19%,-91.81e8,-4.44%,-119e8,-5.75%,13.06e8,0.63%,198e8,9.56%
2016-01-14,3007.65,1.97%,6.96e8,0.32%,13.36e8,0.61%,-6.40e8,-0.29%,-5.44e8,-0.25%,-1.52e8,-0.07%
2016-01-13,2949.60,-2.42%,-148e8,-7.09%,-51.89e8,-2.49%,-95.91e8,-4.60%,6.46e8,0.31%,141e8,6.78%
2016-01-12,3022.86,0.20%,-93.33e8,-4.16%,-38.94e8,-1.74%,-54.39e8,-2.43%,7.97e8,0.36%,85.36e8,3.81%
2016-01-11,3016.70,-5.33%,-353e8,-12.34%,-189e8,-6.61%,-164e8,-5.73%,66.08e8,2.31%,287e8,10.03%
2016-01-08,3186.41,1.97%,-80.93e8,-2.50%,-16.55e8,-0.51%,-64.39e8,-1.99%,4.41e8,0.14%,76.52e8,2.36%
2016-01-07,3125.00,-7.04%,-117e8,-14.65%,-62.89e8,-7.86%,-54.26e8,-6.78%,27.32e8,3.42%,89.82e8,11.23%
2016-01-06,3361.84,2.25%,28.72e8,1.01%,52.13e8,1.83%,-23.42e8,-0.82%,-21.34e8,-0.75%,-7.37e8,-0.26%
2016-01-05,3287.71,-0.26%,-180e8,-5.48%,-72.87e8,-2.22%,-107e8,-3.26%,15.07e8,0.46%,165e8,5.02%
2016-01-04,3296.26,-6.86%,-370e8,-15.35%,-213e8,-8.85%,-157e8,-6.50%,76.63e8,3.18%,293e8,12.17%
2015-12-31,3539.18,-0.94%,-108e8,-4.26%,-33.46e8,-1.32%,-74.64e8,-2.94%,5.99e8,0.24%,102e8,4.02%
2015-12-30,3572.88,0.26%,-66.95e8,-2.50%,-30.95e8,-1.16%,-36.00e8,-1.34%,14.24e8,0.53%,52.70e8,1.97%
2015-12-29,3563.74,0.85%,-91.66e8,-3.65%,-32.40e8,-1.29%,-59.26e8,-2.36%,15.87e8,0.63%,75.78e8,3.02%
2015-12-28,3533.78,-2.59%,-392e8,-10.62%,-230e8,-6.23%,-162e8,-4.39%,118e8,3.20%,274e8,7.41%
2015-12-25,3627.91,0.43%,-110e8,-3.99%,-66.56e8,-2.42%,-42.97e8,-1.56%,29.37e8,1.07%,80.16e8,2.92%
2015-12-24,3612.49,-0.65%,-166e8,-5.25%,-94.29e8,-2.99%,-71.43e8,-2.26%,29.27e8,0.93%,136e8,4.33%
2015-12-23,3636.09,-0.43%,-125e8,-2.98%,-45.52e8,-1.08%,-79.44e8,-1.89%,14.57e8,0.35%,110e8,2.63%
2015-12-22,3651.77,0.26%,-72.18e8,-2.00%,-28.76e8,-0.80%,-43.42e8,-1.20%,8.76e8,0.24%,63.42e8,1.76%
2015-12-21,3642.47,1.77%,84.10e8,2.11%,114e8,2.87%,-30.18e8,-0.76%,-60.62e8,-1.52%,-23.47e8,-0.59%
2015-12-18,3578.96,-0.03%,-88.87e8,-2.43%,-20.84e8,-0.57%,-68.03e8,-1.86%,6.11e8,0.17%,82.77e8,2.27%
