Market:,大盘资金流向(中小板)
Timestamp:, 2016-02-05 05:53:36.630000
,closing,,major,,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
2016-02-04,6484.77,1.35%,40.57e8,3.51%,31.43e8,2.72%,9.14e8,0.79%,-14.97e8,-1.30%,-25.60e8,-2.22%
2016-02-03,6398.52,0.11%,-30.31e8,-3.09%,-4.26e8,-0.43%,-26.06e8,-2.66%,-2.90e8,-0.30%,33.21e8,3.39%
2016-02-02,6391.59,3.06%,71.14e8,6.73%,38.77e8,3.67%,32.37e8,3.06%,-15.29e8,-1.45%,-55.85e8,-5.28%
2016-02-01,6201.99,-1.13%,-64.59e8,-6.88%,-20.83e8,-2.22%,-43.76e8,-4.66%,-1.31e8,-0.14%,65.91e8,7.02%
2016-01-29,6272.91,3.73%,62.55e8,5.82%,38.25e8,3.56%,24.30e8,2.26%,-12.82e8,-1.19%,-49.72e8,-4.62%
2016-01-28,6047.35,-3.34%,-71.05e8,-7.04%,-25.94e8,-2.57%,-45.12e8,-4.47%,-2.28e8,-0.23%,73.33e8,7.26%
2016-01-27,6256.07,-0.77%,-65.37e8,-4.93%,-28.99e8,-2.18%,-36.38e8,-2.74%,8.49e8,0.64%,56.88e8,4.29%
2016-01-26,6304.52,-6.75%,-154e8,-11.15%,-61.39e8,-4.43%,-93.08e8,-6.72%,1.98e8,0.14%,152e8,11.01%
2016-01-25,6760.55,0.89%,-40.51e8,-3.51%,-10.29e8,-0.89%,-30.22e8,-2.62%,4.55e8,0.39%,35.96e8,3.12%
2016-01-22,6700.96,1.03%,-10.32e8,-0.83%,5.09e8,0.41%,-15.41e8,-1.24%,-6.77e8,-0.55%,17.09e8,1.38%
2016-01-21,6632.85,-3.54%,-100e8,-6.75%,-38.01e8,-2.56%,-62.25e8,-4.19%,-1.18e8,-0.08%,101e8,6.83%
2016-01-20,6876.36,-1.37%,-105e8,-6.55%,-34.76e8,-2.16%,-70.50e8,-4.39%,6.64e8,0.41%,98.63e8,6.14%
2016-01-19,6971.63,3.41%,30.11e8,1.92%,26.02e8,1.66%,4.09e8,0.26%,-10.06e8,-0.64%,-20.04e8,-1.28%
2016-01-18,6741.68,1.65%,47.53e8,3.74%,37.54e8,2.95%,9.99e8,0.79%,-17.54e8,-1.38%,-29.99e8,-2.36%
2016-01-15,6632.11,-3.07%,-116e8,-8.19%,-44.50e8,-3.15%,-71.25e8,-5.04%,2.47e8,0.17%,113e8,8.01%
2016-01-14,6842.09,3.63%,35.87e8,2.48%,29.18e8,2.02%,6.69e8,0.46%,-7.80e8,-0.54%,-28.07e8,-1.94%
2016-01-13,6602.31,-3.06%,-106e8,-7.69%,-40.54e8,-2.94%,-65.43e8,-4.75%,9.76e8,0.71%,96.21e8,6.99%
2016-01-12,6810.77,0.97%,-26.61e8,-1.88%,-6.49e8,-0.46%,-20.12e8,-1.42%,7866e4,0.06%,25.82e8,1.82%
2016-01-11,6745.32,-6.32%,-179e8,-11.12%,-86.68e8,-5.38%,-92.62e8,-5.74%,23.82e8,1.48%,155e8,9.64%
2016-01-08,7200.30,1.22%,-76.57e8,-4.06%,-27.03e8,-1.43%,-49.54e8,-2.63%,11.22e8,0.60%,65.35e8,3.47%
2016-01-07,7113.52,-8.19%,-75.97e8,-16.38%,-43.73e8,-9.43%,-32.23e8,-6.95%,16.16e8,3.48%,59.80e8,12.89%
2016-01-06,7747.72,1.89%,-32.29e8,-1.79%,-6.60e8,-0.37%,-25.69e8,-1.43%,1823e4,0.01%,32.11e8,1.78%
2016-01-05,7604.33,-1.28%,-141e8,-6.66%,-64.67e8,-3.06%,-76.02e8,-3.60%,19.21e8,0.91%,121e8,5.75%
2016-01-04,7703.19,-8.23%,-254e8,-16.33%,-136e8,-8.73%,-118e8,-7.60%,50.94e8,3.28%,203e8,13.05%
2015-12-31,8393.83,-1.74%,-166e8,-8.41%,-80.89e8,-4.09%,-85.50e8,-4.32%,28.72e8,1.45%,138e8,6.96%
2015-12-30,8542.20,0.88%,-26.45e8,-1.29%,-9294e4,-0.05%,-25.52e8,-1.24%,-2.99e8,-0.15%,29.44e8,1.43%
2015-12-29,8467.39,0.89%,-52.64e8,-2.75%,-6.04e8,-0.32%,-46.60e8,-2.43%,-3.89e8,-0.20%,56.53e8,2.95%
2015-12-28,8392.67,-2.02%,-216e8,-8.91%,-99.73e8,-4.12%,-116e8,-4.79%,35.86e8,1.48%,180e8,7.43%
2015-12-25,8565.72,0.57%,-37.80e8,-2.11%,4.38e8,0.24%,-42.18e8,-2.35%,-3.01e8,-0.17%,40.81e8,2.28%
2015-12-24,8517.34,-0.45%,-96.57e8,-5.21%,-34.00e8,-1.84%,-62.57e8,-3.38%,4.79e8,0.26%,91.78e8,4.96%
